trip_id,vehicle_id,region,start_time,end_time,duration_min,mileage_km,idle_after_min
1,VH-103,Central,2024-12-15 06:41:00,2024-12-15 06:54:46.792934,13.78,12.29,147.37
2,VH-180,North,2025-04-25 17:29:00,2025-04-25 17:53:46.351305,24.77,31.91,16.27
3,VH-093,Central,2024-10-06 08:30:00,2024-10-06 08:48:06.581701,18.11,19.69,50.52
4,VH-015,South,2024-06-24 08:02:00,2024-06-24 08:57:59.844832,56.0,55.27,30.9
5,VH-107,South,2024-05-09 01:05:00,2024-05-09 01:20:11.674487,15.19,19.27,12.74
6,VH-072,East,2025-01-19 11:28:00,2025-01-19 11:56:27.147749,28.45,35.55,44.46
7,VH-189,South,2025-01-20 09:50:00,2025-01-20 09:56:26.020589,6.43,8.12,1.61
8,VH-021,South,2024-09-21 13:43:00,2024-09-21 14:21:33.670929,38.56,31.78,20.07
9,VH-103,East,2024-05-06 11:34:00,2024-05-06 11:40:32.328272,6.54,6.34,7.26
10,VH-122,West,2024-10-02 12:05:00,2024-10-02 12:16:02.912945,11.05,11.05,48.06
11,VH-075,North,2024-08-06 23:36:00,2024-08-06 23:56:53.814562,20.9,24.42,34.13
12,VH-088,Central,2024-11-25 13:16:00,2024-11-25 14:01:39.139594,45.65,38.31,4.93
13,VH-117,East,2024-08-18 12:18:00,2024-08-18 12:43:50.472471,25.84,31.29,15.63
14,VH-100,South,2024-07-19 20:11:00,2024-07-19 20:17:40.855343,6.68,5.37,252.7
15,VH-104,Central,2024-09-25 06:26:00,2024-09-25 07:46:36.450043,80.61,70.36,36.41
16,VH-152,West,2024-06-02 19:31:00,2024-06-02 19:41:38.905029,10.65,8.65,74.56
17,VH-131,North,2024-12-04 13:35:00,2024-12-04 13:42:56.170326,7.94,7.11,7.27
18,VH-150,North,2024-08-07 01:29:00,2024-08-07 02:05:52.660746,36.88,30.76,85.79
19,VH-053,South,2025-03-15 19:33:00,2025-03-15 20:18:03.523158,45.06,52.47,38.03
20,VH-002,West,2025-01-07 04:58:00,2025-01-07 05:27:10.133450,29.17,33.88,90.74
21,VH-088,North,2024-08-29 11:34:00,2024-08-29 12:15:13.311908,41.22,29.68,32.83
22,VH-158,Central,2024-07-16 13:03:00,2024-07-16 13:55:51.495419,52.86,37.99,35.28
23,VH-038,Central,2024-06-27 11:17:00,2024-06-27 11:53:24.336043,36.41,34.51,107.8
24,VH-130,South,2024-10-13 17:51:00,2024-10-13 18:11:26.148961,20.44,17.28,38.25
25,VH-192,West,2024-06-23 03:11:00,2024-06-23 04:57:54.859490,106.91,108.29,144.93
26,VH-188,Central,2024-10-07 17:29:00,2024-10-07 19:23:17.963591,114.3,84.71,12.64
27,VH-021,North,2024-09-30 03:14:00,2024-09-30 03:34:15.357284,20.26,25.87,98.36
28,VH-161,Central,2024-08-11 20:03:00,2024-08-11 20:09:36.469710,6.61,5.49,125.78
29,VH-058,North,2024-06-28 09:28:00,2024-06-28 10:59:31.030623,91.52,99.47,18.96
30,VH-022,West,2025-03-30 10:46:00,2025-03-30 10:58:00.652430,12.01,15.55,31.94
31,VH-089,South,2024-10-09 16:21:00,2024-10-09 18:05:08.206397,104.14,87.92,29.14
32,VH-049,South,2024-10-07 18:42:00,2024-10-07 19:03:33.750053,21.56,16.08,15.36
33,VH-059,South,2025-04-14 06:15:00,2025-04-14 07:12:52.690965,57.88,67.85,50.39
34,VH-170,East,2024-11-27 19:33:00,2024-11-27 20:20:04.175080,47.07,60.37,61.72
35,VH-188,South,2024-08-21 03:41:00,2024-08-21 04:52:41.942055,71.7,56.06,109.01
36,VH-015,South,2024-06-19 15:56:00,2024-06-19 16:08:00.087297,12.0,10.93,74.05
37,VH-190,North,2024-08-13 11:45:00,2024-08-13 13:50:42.464787,125.71,93.35,249.09
38,VH-190,West,2024-12-16 14:56:00,2024-12-16 16:09:31.030257,73.52,69.81,112.23
39,VH-175,West,2025-01-07 14:32:00,2025-01-07 15:08:15.756141,36.26,25.54,58.62
40,VH-190,Central,2025-04-14 22:23:00,2025-04-14 22:48:32.075538,25.53,32.5,11.21
41,VH-051,South,2025-03-08 02:26:00,2025-03-08 02:45:24.623689,19.41,16.73,168.68
42,VH-108,West,2024-08-15 06:23:00,2024-08-15 06:58:05.271927,35.09,33.14,61.32
43,VH-055,West,2024-12-13 17:50:00,2024-12-13 18:03:16.463746,13.27,14.61,44.3
44,VH-064,West,2024-12-11 16:39:00,2024-12-11 17:56:47.891835,77.8,91.14,478.46
45,VH-131,West,2025-01-22 05:33:00,2025-01-22 06:05:44.166824,32.74,25.46,23.24
46,VH-051,North,2024-09-11 05:50:00,2024-09-11 05:55:47.623143,5.79,5.15,125.11
47,VH-135,South,2024-09-04 22:18:00,2024-09-04 22:30:06.041439,12.1,14.27,95.05
48,VH-021,West,2024-07-08 22:00:00,2024-07-08 23:13:55.471080,73.92,74.47,68.75
49,VH-073,North,2024-09-15 15:25:00,2024-09-15 15:49:02.901592,24.05,22.71,23.59
50,VH-167,East,2024-11-17 06:59:00,2024-11-17 07:42:56.176509,43.94,48.73,46.24
51,VH-018,Central,2024-07-03 11:07:00,2024-07-03 11:20:15.645972,13.26,15.94,20.36
52,VH-132,North,2024-07-22 16:18:00,2024-07-22 16:38:49.558699,20.83,17.74,12.71
53,VH-089,Central,2024-11-27 00:41:00,2024-11-27 01:31:28.378359,50.47,44.82,11.7
54,VH-060,Central,2025-02-07 22:23:00,2025-02-07 22:32:43.692479,9.73,7.19,161.11
55,VH-014,East,2024-12-18 16:53:00,2024-12-18 18:24:53.649630,91.89,99.07,46.0
56,VH-009,East,2024-08-14 09:25:00,2024-08-14 10:48:42.639975,83.71,61.03,52.36
57,VH-090,East,2024-07-20 07:24:00,2024-07-20 08:31:37.310139,67.62,68.76,76.33
58,VH-053,North,2024-07-18 21:58:00,2024-07-18 22:20:34.694375,22.58,24.04,11.93
59,VH-130,East,2024-05-03 16:53:00,2024-05-03 17:28:33.120911,35.55,43.81,105.53
60,VH-084,West,2024-12-17 03:59:00,2024-12-17 04:39:25.807612,40.43,39.64,75.8
61,VH-092,North,2024-09-27 07:44:00,2024-09-27 09:15:56.690057,91.94,80.72,42.92
62,VH-111,South,2025-04-04 04:53:00,2025-04-04 04:59:29.282292,6.49,5.02,263.4
63,VH-188,East,2024-09-23 15:05:00,2024-09-23 16:53:21.766378,108.36,101.34,13.37
64,VH-199,North,2024-12-29 14:16:00,2024-12-29 15:22:58.298837,66.97,73.04,67.62
65,VH-172,East,2024-11-04 05:08:00,2024-11-04 06:13:27.661818,65.46,76.09,27.76
66,VH-008,Central,2024-10-26 09:48:00,2024-10-26 10:13:46.322062,25.77,28.46,65.93
67,VH-175,West,2024-08-08 06:26:00,2024-08-08 07:46:02.535843,80.04,91.73,50.56
